Tier tags: A-family A-growth B-merit B-remote C-verify C-consult — verify culture yourself before apply.,,,
Copy to your Google Sheet or point hire-board config at this file for offline tests.,,,
Company,Location,Career Page,Thread Reply Link
Lovable,Stockholm SE,https://lovable.dev/careers,
Legora,Stockholm SE,https://legora.com/careers,
Mentimeter,Stockholm SE,https://www.mentimeter.com/careers,
Recorded Future,Gothenburg SE,https://www.recordedfuture.com/careers,
Klarna,Stockholm SE,https://www.klarna.com/careers,
Spotify,Stockholm SE,https://www.lifeatspotify.com/jobs,
Saab,Solna SE,https://www.saab.com/careers,
Ericsson,Stockholm SE,https://www.ericsson.com/en/careers,
Einride,Stockholm SE,https://www.einride.tech/careers,
Atlas Copco,Stockholm SE,https://www.atlascopco.com/en/careers,
ABB,Västerås SE,https://global.abb/group/en/careers,
Volvo Group,Gothenburg SE,https://www.volvogroup.com/en/careers,
SpaceXAI,US remote/hybrid,https://x.ai/careers,
SpaceX,US onsite,https://www.spacex.com/careers,
Anthropic,US/SF,https://www.anthropic.com/careers,
OpenAI,US/SF,https://openai.com/careers,
Anduril,US,https://www.anduril.com/careers,
Together AI,US remote,https://www.together.ai/careers,
Vercel,Remote,https://vercel.com/careers,
Supabase,Remote,https://supabase.com/careers,
Linear,Remote,https://linear.app/careers,
Perplexity,US/SF,https://www.perplexity.ai/hub/careers,
n8n,Berlin DE,https://n8n.io/careers,
ElevenLabs,Remote EU,https://elevenlabs.io/careers,
Wayve,London UK,https://wayve.ai/careers,
DevJobs Sweden,SE aggregator,https://devjobs.se,
JobTech Platsbanken,SE all employers,https://arbetsformedlingen.se/platsbanken/,
HN Who is Hiring Aug 2026,Global,https://news.ycombinator.com/item?id=49156683,
WarpJobs inference,Global niche,https://warpjobs.com,
YC Jobs,Global startups,https://www.ycombinator.com/jobs,
Jobanni,Global direct links,https://jobanni.com,
